date,type,days_remaining
2016-03-16,O-,5.3
2016-03-16,A-,7.8
2016-03-16,B-,6.3
2016-03-16,AB-,8.8
2016-03-16,O+,7.5
2016-03-16,A+,8.4
2016-03-16,B+,11.7
2016-03-16,AB+,15.9
2016-03-17,O-,5.3
2016-03-17,A-,8.2
2016-03-17,B-,6.6
2016-03-17,AB-,9.6
2016-03-17,O+,7.5
2016-03-17,A+,8.0
2016-03-17,B+,11.7
2016-03-17,AB+,15.6
2016-03-18,O-,5.1
2016-03-18,A-,8
2016-03-18,B-,7.1
2016-03-18,AB-,10.0
2016-03-18,O+,7.1
2016-03-18,A+,7.6
2016-03-18,B+,11.8
2016-03-18,AB+,15.5
2016-03-19,O-,5.1
2016-03-19,A-,8
2016-03-19,B-,7.1
2016-03-19,AB-,10.0
2016-03-19,O+,7.1
2016-03-19,A+,7.6
2016-03-19,B+,11.8
2016-03-19,AB+,15.5
2016-03-20,O-,5.1
2016-03-20,A-,8
2016-03-20,B-,7.1
2016-03-20,AB-,10.0
2016-03-20,O+,7.1
2016-03-20,A+,7.6
2016-03-20,B+,11.8
2016-03-20,AB+,15.5
2016-03-21,O-,4.4
2016-03-21,A-,7.8
2016-03-21,B-,7
2016-03-21,AB-,8.3
2016-03-21,O+,6.4
2016-03-21,A+,7.3
2016-03-21,B+,11.2
2016-03-21,AB+,15.1
2016-03-21,O-,4.4
2016-03-21,A-,7.8
2016-03-21,B-,7
2016-03-21,AB-,8.3
2016-03-21,O+,6.4
2016-03-21,A+,7.3
2016-03-21,B+,11.2
2016-03-21,AB+,15.1
2016-03-22,O-,4.2
2016-03-22,A-,7.5
2016-03-22,B-,6.9
2016-03-22,AB-,8.6
2016-03-22,O+,6.3
2016-03-22,A+,7.2
2016-03-22,B+,10.6
2016-03-22,AB+,14.5
2016-03-23,O-,4.9
2016-03-23,A-,7.5
2016-03-23,B-,7.7
2016-03-23,AB-,9.5
2016-03-23,O+,6.5
2016-03-23,A+,7.5
2016-03-23,B+,9.7
2016-03-23,AB+,15.7
2016-03-26,O-,5.5
2016-03-26,A-,7.1
2016-03-26,B-,6.7
2016-03-26,AB-,8.8
2016-03-26,O+,6.4
2016-03-26,A+,7.6
2016-03-26,B+,9.3
2016-03-26,AB+,15.5
